name,description,unit_price,category,allergens
Patron El Alto 750ml,"An ultra-pure expression, distilled from highland agave fields for a crisp, clear finish.  Patrón El Alto, 750ml, 40% ABV; premium tequila blanco from high-altitude agave; very smooth with citrus hints.",18000,Tequila,Allergens: Alcohol
Jose Cuervo 1l,"A reliable classic tequila, robust and straightforward, pouring Mexico’s heritage by the liter.  Jose Cuervo Especial, 1L, 35% ABV; gold-colored mixto tequila (blend of agave and neutral spirits); mildly sweet with cooked agave notes.",4000,Tequila,Allergens: Alcohol
Jose Cuervo 700ml,"The same enduring spirit as its liter kin, a golden nectar echoing centuries of tradition.  Jose Cuervo Especial, 750ml, 35% ABV; popular mixto tequila; smooth with light oak and honey.",3600,Tequila,Allergens: Alcohol
Olmeca 1l,"A solid tequila bottled in larger measure, offering youthful agave vibrancy.  Olmeca Tequila (Plata), 1L, 38% ABV; double-distilled from blue agave; crisp, peppery notes.",4000,Tequila,Allergens: Alcohol
Olmeca 700ml,"A spirited representation of Jalisco’s heartland, full of agave zest and warmth.  Olmeca Altos Plata, 750ml, 40% ABV; hand-harvested agave; smooth with citrus and fresh agave.",3600,Tequila,Allergens: Alcohol
1800 Tequila Blanco 750ml,"A bright crystalline tequila, clear as silver, singing of pure agave.  1800 Blanco, 750ml, 40% ABV; unaged tequila; crisp, peppery with grassy sweetness.",6000,Tequila,Allergens: Alcohol
1800 Tequila Añejo 750ml,"A velvety tequila dipped in golden age, rich as a caramel sunset.  1800 Añejo, 750ml, 40% ABV; aged in American and French oak; notes of toasted oak, caramel, and slight spice.",6500,Tequila,Allergens: Alcohol
Don Julio Blanco 750ml,"A legendary spirit of agave brightness, revered like the first kiss of Jalisco agave.  Don Julio Blanco, 750ml, 40% ABV; premium tequila blanco; smooth with crisp citrus and sweet agave finish.",6000,Tequila,Allergens: Alcohol
Don Julio 1942 Tequila,"An exquisite black-label tequila, smooth as velvet, with notes of caramel and fig reminiscent of a fine cognac.  Don Julio 1942, 700ml, 40% ABV; añejo tequila aged ~2.5 years; luxurious sipping tequila with vanilla and toasted oak.",16000,Tequila,Allergens: Alcohol
Clase Azul Mexico 750ml,"A masterpiece in porcelain, this tequila offers a lush bouquet of tropical fruit and spice.  Clase Azul Plata, 750ml, 40% ABV; premium tequila; exceptionally smooth, with sweet agave and citrus flavors.",20000,Tequila,Allergens: Alcohol
Absolut Blue 700ml,"A crystal-clear Swedish vodka, pure and smooth like Arctic ice.  Absolut Vodka (blue), 700ml, 40% ABV; distilled from winter wheat, no added sugar; neutral and clean taste.",2700,Vodka,Allergens: Alcohol
Absolut Lime 700ml,"A lively green-toned vodka kissed with citrus zest, offering a bright lime tang in every sip.  Absolut Lime, 700ml, 40% ABV; infused with real lime and lemon oils; sweet and tart.",2700,Vodka,"Allergens: Alcohol, Citrus/Fruit (may affect allergies)"
Absolut Wild Berri 700ml,"A berry-bright vodka bursting with raspberry and blueberry aromas in every sip.  Absolut Wild Berri, 700ml, 40% ABV; infused with natural raspberry, blackberry and blueberry flavors; sweet and fruity.",2700,Vodka,Allergens: Alcohol
Absolut Citron 700ml,"A radiant vodka, infused with sun-kissed lemons and grapefruit for a tangy embrace.  Absolut Citron, 700ml, 40% ABV; real lemon and grapefruit peels; crisp citrus flavor, sweetened.",2700,Vodka,Allergens: Alcohol
Absolut Blue 1l,"The same pristinely pure spirit as its 700ml counterpart, now ample for long nights.  Absolut Vodka, 1L, 40% ABV; classic, clean vodka for cocktails or sipping.",3500,Vodka,Allergens: Alcohol
Absolut Citron 1l,"A liter of zesty sunshine, packed with the tangy spirit of citrus.  Absolut Citron, 1L, 40% ABV; flavored with lemon/grapefruit; bright and fresh.",3500,Vodka,Allergens: Alcohol
Absolut Wild Berri 1l,"A full-size berry-blasted vodka for long celebrations, fruity and vivid.  Absolut Wild Berri, 1L, 40% ABV; natural berry flavors; sweet-tart.",3500,Vodka,Allergens: Alcohol
Sky Vodka 700ml,"A smooth and refined vodka that flows as softly as a clear morning sky.  Skyy Vodka, 700ml, 40% ABV; triple-distilled, quadruple-filtered; exceptionally clean and smooth.",3000,Vodka,Allergens: Alcohol
Grey Goose Original 700ml,"A French luxury vodka, elegant as champagne, distilled from soft winter wheat.  Grey Goose, 700ml, 40% ABV; single-estate wheat, filtered through limestone; crisp and smooth with subtle almond.",5500,Vodka,Allergens: Alcohol
Belvedere,"A Polish vodka of regal heritage, velvety smooth and rich, like silk on the palate.  Belvedere Vodka, 750ml, 40% ABV; made from Dankowskie rye, quadruple distilled; soft vanilla and creamy finish.",4500,Vodka,Allergens: Alcohol
Belvedere Vodka 10,"An ultra-pure expression, distilled 10 times for unmatched clarity and gentleness.  Belvedere Vodka 10, 750ml, 40% ABV; 10 times distilled from rye; exceptionally smooth and soft.",20000,Vodka,Allergens: Alcohol
Ciroc 750ml,"A glamorous French vodka, made from grapes with a whisper of citrus freshness.  Cîroc Vodka, 750ml, 40% ABV; distilled from French Ugni Blanc grapes; smooth, light, with a hint of fruit.",3500,Vodka,Allergens: Alcohol
Ciroc 1.75l,"A large bottle of the same suave vodka, ready to fuel grand celebrations.  Cîroc Vodka, 1.75L, 40% ABV; grape vodka, crisp and smooth.",7000,Vodka,Allergens: Alcohol
Bombay Sapphire 750ml,"A royal blue gin that carries a bouquet of botanicals, as crisp as an English garden morning.  Bombay Sapphire, 750ml, 40% ABV; London Dry Gin infused with 10 botanicals (juniper, citrus, almond); light and floral.",3500,Gin,Allergens: Alcohol
Malfy (pink Grapefruit) 700ml,"A whimsical Italian gin with a blushing grapefruit twist, summery and bright.  Malfy Con Limone (though pink grapefruit) 700ml, 41% ABV; infused with Sicilian pink grapefruits and botanicals; tart and zesty.",3000,Gin,Allergens: Alcohol
Tanqueray Dry Gin 750ml,"A revered London classic, intensely juniper-forward with a timelessly crisp backbone.  Tanqueray London Dry, 750ml, 47.3% ABV; juniper, coriander, angelica; strong, sharp, and botanical.",3700,Gin,Allergens: Alcohol
Tanqueray Malacca 1l,"An exquisite gin liqueur, tropical hints swirling in a rich amber elixir.  Tanqueray Malacca (liqueur), 1L, 39.6% ABV; infused with exotic spices, citrus peel and Madagascar nutmeg; sweet and aromatic.",4000,Gin,Allergens: Alcohol
Tanqueray Flor De Sevilla 1l,"A zesty Spanish-inspired gin, its bright orange blossom aroma transporting you to Seville’s orchards.  Tanqueray Sevilla, 1L, 41.3% ABV; London Dry Gin with Seville orange essence; sweet citrus-forward.",4000,Gin,Allergens: Alcohol
Tanqueray No. Ten 700ml,"An ultra-premium gin, distilled with whole citrus fruits for extra clean, citrusy elegance.  Tanqueray No. Ten, 700ml, 47.3% ABV; small-batch Gin with fresh oranges, grapefruit, chamomile; exceptionally smooth.",5000,Gin,Allergens: Alcohol
The Botanist 700ml,"A herbal treasure trove, capturing Islay’s wild botanicals in a crystal-clear spirit.  The Botanist Islay Gin, 700ml, 46% ABV; 31 foraged botanicals including heather and mint; complex and floral.",6000,Gin,Allergens: Alcohol
Beefeater Dry Gin 700ml,"A classic red-bottle gin, hearty and bold with a quintessential London dry style.  Beefeater London Dry, 700ml, 40% ABV; rich juniper, coriander, citrus peel; robust and traditional.",3500,Gin,Allergens: Alcohol
Antidote Citron De Corse 700ml,"A Mediterranean sun-kissed gin, bright with Corsican lemons and herbal warmth.  Antidote Liqueur de Corse (citron), 700ml, 40% ABV; gin infused with Corsican lemon peel, lavender, rosemary; aromatic citrus finish.",4500,Gin,Allergens: Alcohol
Antidote Orange De Corse 700ml,"A tangy burst from Corsican oranges blending with smooth gin for a sweet, spirited dance.  Antidote Liqueur de Corse (orange), 700ml, 40% ABV; gin infused with blood orange and herbs; sweet and fragrant.",4500,Gin,"Allergens: Alcohol, Citrus/Fruit (may affect allergies)"
Antidote Style Mediterranean 700ml,"An aromatic escape of Mediterranean herbs, each sip like a scented breeze from Provence.  Antidote Liqueur de Corse (Mediterranean), 700ml, 40% ABV; gin with rosemary, thyme, citrus; savory herbal gin.",4500,Gin,Allergens: Alcohol
Antidote Botanicals & Spices 700ml,"A complex potion of exotic botanicals and spices, bold like an alchemist’s craft.  Antidote Liqueur (Spice), 700ml, 40% ABV; gin with coriander, nutmeg, clove; rich and warm spice profile.",4500,Gin,Allergens: Alcohol
Martini Asti Spumante 750ml,"A frothy Italian sparkler, effervescent and sweet as a celebration in every bubble.  Martini Asti Spumante, 750ml, 7.5% ABV; sweet sparkling Moscato d'Asti wine from Piedmont; notes of pear, peach and honey.",3500,Wine,Allergens: Alcohol
Martini Prosecco 750ml,"A lively Prosecco with crisp apple and citrus twinkles, like spring blossoms in your glass.  Martini Prosecco, 750ml, ~11% ABV; dry Italian sparkling wine (Prosecco DOC); bright with green apple and floral hints.",3500,Wine,Allergens: Alcohol
Bgc Merlot 750ml,"A bold red wine of velvety tannins and dark berry notes, a toast to full-bodied elegance.  BGC Merlot, 750ml, 12–13% ABV; red table wine from Chile; smooth with plum, cherry, and spice.",2500,Wine,Allergens: Alcohol
Banrock Moscato 750ml,"A sweet orange-blossom scented white wine, as gentle as a summer afternoon.  Banrock Station Moscato, 750ml, 7% ABV; Australian dessert wine; sweet with peach and apricot aromas.",2500,Wine,Allergens: Alcohol
Queen Adelaide Moscato 750ml,"A tenderly sweet fizz, a regal blush of peach and apricot on the palate.  Queen Adelaide Moscato, 750ml, ~7% ABV; sparkling sweet white wine; low alcohol, fruity and floral.",2500,Wine,Allergens: Alcohol
Dewar's 8 Y/o Japanese Smooth 750ml,Dewar's 8 y/o Japanese Smooth 750ml is a whiskey / scotch crafted to delight. Dewar's 8 y/o Japanese Smooth 750ml delivers a signature drink experience inspired by classic flavors. Typical spirit characteristics: 40% ABV (approx).,3500,Whiskey / Scotch,Allergens: Alcohol
Dewar's 12 Y/o 750ml,Dewar's 12 y/o 750ml is a whiskey / scotch crafted to delight. Dewar's 12 y/o 750ml delivers a signature drink experience inspired by classic flavors. Typical spirit characteristics: 40% ABV (approx).,4500,Whiskey / Scotch,Allergens: Alcohol
Dewar's 12 Y/o 1l,Dewar's 12 y/o 1L is a whiskey / scotch crafted to delight. Dewar's 12 y/o 1L delivers a signature drink experience inspired by classic flavors. Typical spirit characteristics: 40% ABV (approx).,5000,Whiskey / Scotch,Allergens: Alcohol
Dewar's 15 Y/o 1l,Dewar's 15 y/o 1L is a whiskey / scotch crafted to delight. Dewar's 15 y/o 1L delivers a signature drink experience inspired by classic flavors. Typical spirit characteristics: 40% ABV (approx).,6000,Whiskey / Scotch,Allergens: Alcohol
Dewar's 18 Y/o 750ml,Dewar's 18 y/o 750ml is a whiskey / scotch crafted to delight. Dewar's 18 y/o 750ml delivers a signature drink experience inspired by classic flavors. Typical spirit characteristics: 40% ABV (approx).,7000,Whiskey / Scotch,Allergens: Alcohol
Jack Daniel's 1l,Jack Daniel's 1L is a whiskey / scotch crafted to delight. Jack Daniel's 1L delivers a signature drink experience inspired by classic flavors. Typical spirit characteristics: 40% ABV (approx).,4500,Whiskey / Scotch,Allergens: Alcohol
Jack Daniel's Apple 750ml,Jack Daniel's Apple 750ml is a whiskey / scotch crafted to delight. Jack Daniel's Apple 750ml delivers a signature drink experience inspired by classic flavors. Typical spirit characteristics: 40% ABV (approx).,3800,Whiskey / Scotch,"Allergens: Alcohol, Citrus/Fruit (may affect allergies)"
Jack Daniel's Honey 750ml,Jack Daniel's Honey 750ml is a whiskey / scotch crafted to delight. Jack Daniel's Honey 750ml delivers a signature drink experience inspired by classic flavors. Typical spirit characteristics: 40% ABV (approx).,3800,Whiskey / Scotch,Allergens: Alcohol
Jack Daniel's Fire 750ml,Jack Daniel's Fire 750ml is a whiskey / scotch crafted to delight. Jack Daniel's Fire 750ml delivers a signature drink experience inspired by classic flavors. Typical spirit characteristics: 40% ABV (approx).,3800,Whiskey / Scotch,Allergens: Alcohol
Johnnie Walker Black 1l,Johnnie Walker Black 1L is a whiskey / scotch crafted to delight. Johnnie Walker Black 1L delivers a signature drink experience inspired by classic flavors. Typical spirit characteristics: 40% ABV (approx).,4000,Whiskey / Scotch,Allergens: Alcohol
Johnnie Walker Double Black 1l,Johnnie Walker Double Black 1L is a whiskey / scotch crafted to delight. Johnnie Walker Double Black 1L delivers a signature drink experience inspired by classic flavors. Typical spirit characteristics: 40% ABV (approx).,4500,Whiskey / Scotch,Allergens: Alcohol
Johnnie Walker 18 Y/o 750ml,Johnnie Walker 18 y/o 750ml is a whiskey / scotch crafted to delight. Johnnie Walker 18 y/o 750ml delivers a signature drink experience inspired by classic flavors. Typical spirit characteristics: 40% ABV (approx).,10000,Whiskey / Scotch,Allergens: Alcohol
Johnnie Walker Blue 750ml,Johnnie Walker Blue 750ml is a whiskey / scotch crafted to delight. Johnnie Walker Blue 750ml delivers a signature drink experience inspired by classic flavors. Typical spirit characteristics: 40% ABV (approx).,16000,Whiskey / Scotch,Allergens: Alcohol
Johnnie Walker & Sons Xr 21 Y/o 750ml,Johnnie Walker & Sons XR 21 y/o 750ml is a whiskey / scotch crafted to delight. Johnnie Walker & Sons XR 21 y/o 750ml delivers a signature drink experience inspired by classic flavors. Typical spirit characteristics: 40% ABV (approx).,17000,Whiskey / Scotch,Allergens: Alcohol
Charles & James Light 1l,Charles & James Light 1L is a whiskey / scotch crafted to delight. Charles & James Light delivers a signature drink experience inspired by classic flavors. Typical spirit characteristics: 40% ABV (approx).,2700,Whiskey / Scotch,Allergens: Alcohol
Jameson Irish 700ml,Jameson Irish 700ml is a whiskey / scotch crafted to delight. Jameson Irish 700ml delivers a signature drink experience inspired by classic flavors. Typical spirit characteristics: 40% ABV (approx).,3500,Whiskey / Scotch,Allergens: Alcohol
Maker's Mark 750ml,Maker's Mark 750ml is a whiskey / scotch crafted to delight. Maker's Mark 750ml delivers a signature drink experience inspired by classic flavors. Typical spirit characteristics: 40% ABV (approx).,4000,Whiskey / Scotch,Allergens: Alcohol
Jim Beam 1l,Jim Beam 1L is a whiskey / scotch crafted to delight. Jim Beam 1L delivers a signature drink experience inspired by classic flavors. Typical spirit characteristics: 40% ABV (approx).,4000,Whiskey / Scotch,Allergens: Alcohol
Singleton 12 Y/o 700ml,Singleton 12 y/o 700ml is a whiskey / scotch crafted to delight. Singleton 12 y/o 700ml delivers a signature drink experience inspired by classic flavors. Typical spirit characteristics: 40% ABV (approx).,6900,Whiskey / Scotch,Allergens: Alcohol
Monkey Shoulder 700ml,Monkey Shoulder 700ml is a whiskey / scotch crafted to delight. Monkey Shoulder 700ml delivers a signature drink experience inspired by classic flavors. Typical spirit characteristics: 40% ABV (approx).,5700,Whiskey / Scotch,Allergens: Alcohol
Macallan Single 700ml,"A single malt legend, refined and smooth as polished mahogany.  Macallan 12 Year Sherry Oak, 700ml, 40% ABV; Scotch single malt; aged in sherry casks, rich with dried fruit and spice.",16000,Whiskey / Scotch,Allergens: Alcohol
Macallan Double 700ml,"A bold double-cask expression, where dried fruit and toasted oak intertwine gracefully.  Macallan Double Cask 12 Year, 700ml, 40% ABV; matured in both American and European oak; sweet vanilla and spice.",20000,Whiskey / Scotch,Allergens: Alcohol
Glenfiddich 15 Y/o,"A marriage of three woods, this Speyside malt is as rich as a caramel sundae.  Glenfiddich 15 Year Solera, 700ml, 40% ABV; single malt; toffee, cinnamon, and fruit.",7500,Whiskey / Scotch,Allergens: Alcohol
Glenfiddich 21 Y/o,"An exceptional rum-cask-finished whisky, exuding sweet molasses and warm vanilla.  Glenfiddich 21 Year Reserva Rum Cask, 700ml, 40% ABV; single malt; banana, toffee, spice.",35000,Whiskey / Scotch,Allergens: Alcohol
Dalmore 15 Y/o 700ml,"A Scottish legend, deep amber with an aroma of orange marmalade and dark chocolate.  Dalmore 15 Year, 700ml, 40% ABV; single malt; sherry-cask aged; rich citrus, cocoa, and spice.",16000,Whiskey / Scotch,Allergens: Alcohol
Remy Martin Xo 700ml,Remy Martin XO 700ml is a brandy / cognac crafted to delight. Remy Martin XO 700ml delivers a signature drink experience inspired by classic flavors. Typical spirit characteristics: 40% ABV (approx).,19000,Brandy / Cognac,Allergens: Alcohol
Remy Martin Vsop 700ml,Remy Martin VSOP 700ml is a brandy / cognac crafted to delight. Remy Martin VSOP 700ml delivers a signature drink experience inspired by classic flavors. Typical spirit characteristics: 40% ABV (approx).,8500,Brandy / Cognac,Allergens: Alcohol
Carlos I 700ml,"A luxurious Spanish brandy, as smooth as velvet with layered walnut and plum.  Carlos I, 700ml, 40% ABV; brandy de Jerez; aged 10–12 years; dark fruit, chocolate, and nuts.",4500,Brandy / Cognac,Allergens: Alcohol
Martell Vs 700ml,"A crisp Cognac, lively with floral orange blossom and fresh citrus zest.  Martell VS, 700ml, 40% ABV; very special cognac (2–4 years); young, vibrant, with peach and honey notes.",5000,Brandy / Cognac,Allergens: Alcohol
Martel Vsop 700ml,Martel VSOP 700ml is a brandy / cognac crafted to delight. Martel VSOP 700ml delivers a signature drink experience inspired by classic flavors. Typical spirit characteristics: 40% ABV (approx).,6000,Brandy / Cognac,Allergens: Alcohol
Jaegermeister 1l,Jaegermeister 1L is a liqueurs crafted to delight. Jaegermeister 1L delivers a signature drink experience inspired by classic flavors. Typical liqueur characteristics: 15-35% ABV (approx).,4000,Liqueurs,Allergens: Alcohol
Jaegermeister 1.75l,Jaegermeister 1.75L is a liqueurs crafted to delight. Jaegermeister 1.75L delivers a signature drink experience inspired by classic flavors. Typical liqueur characteristics: 15-35% ABV (approx).,6500,Liqueurs,Allergens: Alcohol
Baileys 750ml,"A velvety Irish cream liqueur, rich with whiskey warmth and silky chocolate notes.  Baileys Irish Cream, 750ml, 17% ABV; blend of Irish whiskey and cream, with cocoa and vanilla; creamy dessert drink.",3000,Liqueurs,"Allergens: Alcohol, Dairy"
Tequila Rose Strawberry 750ml,"A dessert-like blend of tequila and lush strawberry cream, pink and sweet like fairy-tale candy.  Tequila Rose, 750ml, 15% ABV; strawberry cream liqueur with tequila; sweet, low-proof, best served chilled.",3000,Liqueurs,"Allergens: Alcohol, Citrus/Fruit (may affect allergies)"
Antidote Herbal Liquor,"A potent elixir of secret botanicals, delivering a fiery finish befitting medieval remedies.  Antidote (herbal liqueur), 700ml, ~40% ABV; complex bitter herbal digestif; intense spice and herb flavors.",4000,Liqueurs,Allergens: May contain traces of alcohol (cross-contamination possible)
